date,CutFlowers,PotOwn,PotPurchased,Wholesale,FruitsVegs,Commodity,mean_temp,mean_humid,mean_prec_height_mm,total_prec_height_mm,mean_prec_flag,total_prec_flag,mean_sun_dur_min,total_sun_dur_h,public_holiday,school_holiday,day_of_week,month,is_weekend
2016-12-12,12.0,0.0,0.0,0.0,0.0,0.0,5.2083333333,89.125,0.0083333333,0.2,0.5,1.0,1.7222222222,0.6888888889,no,no,0,12,0
2016-12-13,32.0,2.9,68.25,0.0,8.4,31.9,3.8458333333,93.375,0.0583333333,1.4,0.3333333333,1.0,5.5,2.2,no,no,1,12,0
2016-12-14,140.0,0.0,5.0,0.0,9.35,126.55,4.6708333333,99.4166666667,0.0125,0.3,0.5,1.0,0.0,0.0,no,no,2,12,0
2016-12-15,126.9,0.0,61.0,0.0,6.9,72.7,3.5708333333,90.5416666667,0.0,0.0,0.0,0.0,1.5555555556,0.6222222222,no,no,3,12,0
2016-12-16,279.5,0.0,59.4,0.0,14.3,47.35,-0.3458333333,82.8333333333,0.0,0.0,0.0,0.0,11.3333333333,4.5333333333,no,no,4,12,0
2016-12-17,209.0,4.0,7.9,0.0,0.0,103.3,-1.0916666667,92.9166666667,0.0,0.0,0.0833333333,1.0,0.0,0.0,no,no,5,12,1
2016-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.275,97.5,0.0083333333,0.2,0.5,1.0,0.0,0.0,no,no,6,12,1
2016-12-19,83.7,0.0,73.5,0.0,3.3,137.42,0.1541666667,94.5833333333,0.0,0.0,0.0833333333,1.0,0.7222222222,0.2888888889,no,no,0,12,0
2016-12-20,116.4,0.0,98.2,0.0,42.06,153.05,-3.1041666667,90.0,0.0,0.0,0.0,0.0,17.1666666667,6.8666666667,no,no,1,12,0
2016-12-21,257.1,0.0,75.3,0.0,18.7,123.89,-1.5208333333,93.125,0.0,0.0,0.0,0.0,0.0,0.0,no,no,2,12,0
2016-12-22,439.2,0.0,83.1,0.0,7.7,145.57,-0.8916666667,91.5833333333,0.0583333333,1.4,0.2083333333,1.0,0.0,0.0,no,no,3,12,0
2016-12-23,1088.55,0.0,203.8,0.0,38.89,126.7,0.7583333333,99.3333333333,0.0166666667,0.4,0.5,1.0,0.0,0.0,no,no,4,12,0
2016-12-24,450.9,0.0,75.2,0.0,25.6,51.95,4.9375,89.5,0.0333333333,0.8,0.3333333333,1.0,1.7222222222,0.6888888889,no,no,5,12,1
2016-12-25,0.0,0.0,0.0,0.0,0.0,0.0,6.8291666667,89.7916666667,0.0208333333,0.5,0.9166666667,1.0,0.0,0.0,Erster Weihnachtstag,no,6,12,1
2016-12-26,0.0,0.0,0.0,0.0,0.0,0.0,6.6625,87.5416666667,0.0041666667,0.1,0.5,1.0,0.0,0.0,Zweiter Weihnachtstag,no,0,12,0
2016-12-27,45.0,0.0,38.7,0.0,5.88,25.4,4.2083333333,77.875,0.0,0.0,0.625,1.0,0.0,0.0,no,no,1,12,0
2016-12-28,196.0,54.9,63.6,0.0,0.9,55.45,4.1375,84.5833333333,0.0,0.0,0.25,1.0,0.0,0.0,no,no,2,12,0
2016-12-29,105.0,0.0,125.5,0.0,10.05,34.9,-0.0833333333,92.75,0.0,0.0,0.0,0.0,21.1111111111,8.4444444444,no,no,3,12,0
2016-12-30,77.7,3.0,23.0,0.0,15.5,18.8,-3.6125,96.5833333333,0.0,0.0,0.0833333333,1.0,11.6111111111,4.6444444444,no,no,4,12,0
2016-12-31,186.6,0.0,0.0,0.0,26.75,42.6,-6.7791666667,92.2083333333,0.0,0.0,0.0,0.0,22.0,8.8,no,no,5,12,1
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-6.6791666667,94.75,0.0,0.0,0.0,0.0,0.0,0.0,Neujahr,no,6,1,1
2017-01-02,190.5,2.5,3.9,0.0,5.1,51.28,-1.5041666667,95.7916666667,0.1,2.4,0.5,1.0,0.0,0.0,no,no,0,1,0
2017-01-03,27.0,5.0,3.9,0.0,9.8,31.44,-0.4791666667,92.75,0.0333333333,0.8,0.3333333333,1.0,0.0,0.0,no,no,1,1,0
2017-01-04,227.6,17.5,27.9,0.0,21.45,54.8,1.075,87.7916666667,0.0625,1.5,0.9166666667,1.0,0.5,0.2,no,no,2,1,0
2017-01-05,117.91,29.9,21.9,0.0,14.8,26.49,-3.9125,75.6666666667,0.0208333333,0.5,0.25,1.0,8.5555555556,3.4222222222,no,no,3,1,0
2017-01-06,0.0,0.0,0.0,0.0,0.0,0.0,-12.9416666667,84.1666666667,0.0,0.0,0.0,0.0,23.6666666667,9.4666666667,Heilige Drei Könige,no,4,1,0
2017-01-07,68.1,3.9,6.9,0.0,14.6,51.65,-10.1083333333,82.7916666667,0.0541666667,1.3,0.3333333333,1.0,0.5,0.2,no,no,5,1,1
2017-01-08,0.0,0.0,0.0,0.0,0.0,0.0,-2.7958333333,94.2916666667,0.0333333333,0.8,0.5416666667,1.0,0.0,0.0,no,no,6,1,1
2017-01-09,177.7,2.5,113.6,0.0,2.15,31.23,-0.8041666667,94.6666666667,0.0,0.0,0.625,1.0,0.0,0.0,no,no,0,1,0
2017-01-10,105.5,3.4,19.5,0.0,23.8,8.79,-0.9625,74.9583333333,0.0,0.0,0.125,1.0,12.5,5.0,no,no,1,1,0
2017-01-11,81.0,8.0,91.4,0.0,20.1,17.7,-0.6291666667,88.0,0.1291666667,3.1,0.625,1.0,0.5555555556,0.2222222222,no,no,2,1,0
2017-01-12,299.0,9.9,18.9,0.0,2.8,38.39,3.2875,81.375,0.175,4.2,0.375,1.0,0.0,0.0,no,no,3,1,0
2017-01-13,295.2,2.8,28.9,0.0,35.58,17.24,2.1125,79.0,0.1375,3.3,0.75,1.0,0.0,0.0,no,no,4,1,0
2017-01-14,202.9,4.8,18.8,0.0,20.1,126.95,1.125,82.0416666667,0.05,1.2,0.7916666667,1.0,0.4444444444,0.1777777778,no,no,5,1,1
2017-01-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.9041666667,87.5416666667,0.0458333333,1.1,0.75,1.0,1.2222222222,0.4888888889,no,no,6,1,1
2017-01-16,888.0,1.9,30.1,0.0,17.11,94.32,-3.3458333333,87.125,0.0458333333,1.1,0.625,1.0,3.2222222222,1.2888888889,no,no,0,1,0
2017-01-17,142.7,0.0,0.0,0.0,5.4,16.65,-4.4,81.1666666667,0.0,0.0,0.3333333333,1.0,13.6111111111,5.4444444444,no,no,1,1,0
2017-01-18,136.5,1.9,23.8,0.0,19.6,75.65,-4.9083333333,77.1666666667,0.0,0.0,0.0,0.0,23.9444444444,9.5777777778,no,no,2,1,0
2017-01-19,142.4,0.0,7.4,0.0,4.35,39.3,-8.0291666667,77.2083333333,0.0,0.0,0.0,0.0,25.1111111111,10.0444444444,no,no,3,1,0
2017-01-20,208.3,25.0,38.7,0.0,15.08,26.71,-6.2583333333,73.0416666667,0.0,0.0,0.0,0.0,25.3333333333,10.1333333333,no,no,4,1,0
2017-01-21,35.7,3.0,18.9,0.0,8.75,26.9,-7.0333333333,79.1666666667,0.0,0.0,0.0,0.0,25.3888888889,10.1555555556,no,no,5,1,1
2017-01-22,0.0,0.0,0.0,0.0,0.0,0.0,-9.7125,83.2083333333,0.0,0.0,0.0,0.0,24.8888888889,9.9555555556,no,no,6,1,1
